viajero_id,ciudad_origen,destino_preferido,tipo_viaje,canal_reserva,edad,gasto_promedio_cop,frecuencia_anual,noches_promedio,satisfaccion
VCO0029,Medellín,Eje Cafetero,Cultural,App móvil,41,1143369,1.9,5.5,4.6
VCO0030,Cali,Eje Cafetero,Ecoturismo,Recomendación,22,336539,7.0,3.0,5.0
VCO0031,Barranquilla,Cartagena,Cultural,App móvil,32,1231618,1.7,6.2,4.4
VCO0032,Pereira,Santa Marta,Aventura,Reserva directa,20,210282,4.2,3.7,5.0
VCO0033,Cali,Eje Cafetero,Ecoturismo,Reserva directa,23,376531,5.8,2.4,3.9
VCO0034,Bogotá,Cartagena,Cultural,Reserva directa,30,2452176,1.0,3.3,4.4
VCO0035,Bogotá,Cartagena,Gastronómico,Reserva directa,30,2486174,1.0,4.8,4.4
VCO0036,Bogotá,Cartagena,Gastronómico,Reserva directa,41,2862287,1.0,3.1,4.5
VCO0037,Bogotá,Eje Cafetero,Ecoturismo,Recomendación,25,318008,4.8,3.8,4.5
VCO0038,Bogotá,Amazonas,Aventura,App móvil,28,290386,5.7,2.7,5.0
VCO0039,Bogotá,Cartagena,Descanso,App móvil,41,1555098,2.4,4.7,4.6
VCO0040,Bogotá,Santa Marta,Cultural,App móvil,44,904160,1.1,5.8,4.5
VCO0041,Bogotá,Eje Cafetero,Cultural,App móvil,26,347960,4.9,3.1,3.9
VCO0042,Bogotá,Cartagena,Cultural,Reserva directa,43,1213004,2.5,6.2,3.9
VCO0043,Medellín,Villa de Leyva,Cultural,Reserva directa,26,354669,5.1,3.6,3.9
VCO0044,Medellín,Medellín,Descanso,Reserva directa,38,2755274,1.5,5.1,4.6
VCO0045,Bogotá,Eje Cafetero,Ecoturismo,Recomendación,26,322543,4.5,2.0,4.2
VCO0046,Bogotá,Cartagena,Descanso,Agencia tradicional,43,1231364,2.6,4.6,3.7
VCO0047,Manizales,Eje Cafetero,Cultural,Reserva directa,23,427898,6.3,4.0,4.1
VCO0048,Medellín,Cartagena,Descanso,Agencia tradicional,38,1497919,2.5,4.8,4.2
VCO0049,Bogotá,San Andrés,Descanso,Reserva directa,36,945927,2.9,8.0,4.1
VCO0050,Manizales,Villa de Leyva,Ecoturismo,Reserva directa,32,501898,3.7,3.5,4.6
VCO0051,Barranquilla,Cartagena,Descanso,App móvil,42,2455261,1.9,5.7,4.9
VCO0052,Bogotá,San Andrés,Gastronómico,Reserva directa,40,2318923,1.4,4.8,4.5
VCO0053,Medellín,San Andrés,Cultural,Agencia tradicional,48,2032853,1.5,5.5,4.5
VCO0054,Bogotá,Villa de Leyva,Cultural,Reserva directa,32,2368649,1.0,2.8,4.2
VCO0055,Medellín,Cartagena,Gastronómico,Agencia tradicional,39,1202800,2.5,3.8,4.3
VCO0056,Bogotá,San Andrés,Gastronómico,Reserva directa,47,2726640,1.7,4.5,5.0
VCO0057,Manizales,Villa de Leyva,Ecoturismo,Recomendación,23,386039,5.6,3.3,5.0
VCO0058,Manizales,Santa Marta,Ecoturismo,Reserva directa,27,329059,2.0,3.2,3.0
VCO0059,Cali,Amazonas,Cultural,Reserva directa,22,394475,5.9,3.3,4.5
VCO0060,Manizales,Eje Cafetero,Cultural,Recomendación,34,197604,5.1,4.0,4.5
VCO0061,Bogotá,San Andrés,Descanso,Reserva directa,47,1421342,2.0,5.5,4.7
VCO0062,Bogotá,Amazonas,Aventura,Recomendación,27,487772,4.3,4.5,4.2
VCO0063,Bogotá,Cartagena,Cultural,Reserva directa,43,2611006,1.8,2.9,5.0
VCO0064,Bogotá,Amazonas,Ecoturismo,Recomendación,27,301692,5.0,1.7,4.5
VCO0065,Cali,Eje Cafetero,Aventura,Reserva directa,25,314163,6.0,3.2,3.7
VCO0066,Medellín,Cartagena,Cultural,App móvil,38,975846,1.6,7.1,4.8
VCO0067,Bogotá,Amazonas,Cultural,Recomendación,26,173337,3.7,3.9,4.0
VCO0068,Bogotá,Cartagena,Gastronómico,Reserva directa,46,2862714,1.0,4.9,3.9
VCO0069,Pereira,Eje Cafetero,Cultural,Reserva directa,29,360868,3.9,3.9,4.5
VCO0070,Bogotá,Medellín,Descanso,App móvil,44,2406716,1.7,3.8,4.4
VCO0071,Bogotá,San Andrés,Cultural,Agencia tradicional,34,2319512,1.0,2.1,4.4
VCO0072,Cali,Amazonas,Ecoturismo,Reserva directa,20,353443,3.1,3.3,3.8
VCO0073,Pereira,Amazonas,Ecoturismo,App móvil,25,431827,3.4,3.5,3.7
VCO0074,Medellín,San Andrés,Cultural,Agencia tradicional,47,1747825,2.2,5.6,4.4
VCO0075,Bogotá,Cartagena,Descanso,Agencia tradicional,47,1074370,1.6,3.7,4.8
VCO0076,Medellín,San Andrés,Cultural,Agencia tradicional,35,1457276,2.0,3.3,4.3
VCO0077,Barranquilla,Medellín,Cultural,Reserva directa,52,2582855,1.0,5.9,4.6
VCO0078,Bogotá,Santa Marta,Aventura,App móvil,23,462962,4.3,2.7,4.5
VCO0079,Medellín,Santa Marta,Aventura,App móvil,28,299748,2.7,2.3,5.0
VCO0080,Manizales,Eje Cafetero,Cultural,App móvil,32,357914,5.5,2.7,4.3
VCO0081,Bogotá,Villa de Leyva,Gastronómico,Reserva directa,32,2199461,1.0,6.4,4.4
VCO0082,Cúcuta,Eje Cafetero,Descanso,Reserva directa,40,1111278,2.0,5.3,4.7
VCO0083,Medellín,Santa Marta,Aventura,App móvil,23,351633,3.9,4.0,3.4
VCO0084,Medellín,Eje Cafetero,Cultural,App móvil,21,232746,5.1,4.1,4.4
VCO0085,Pereira,Amazonas,Ecoturismo,App móvil,23,208475,6.4,4.0,4.3
VCO0086,Manizales,Eje Cafetero,Aventura,Recomendación,21,379339,3.9,3.6,4.0
VCO0087,Medellín,San Andrés,Descanso,Agencia tradicional,39,1176469,2.4,7.8,3.9
VCO0088,Cúcuta,Cartagena,Descanso,App móvil,32,1203005,1.0,4.3,4.0
VCO0089,Bogotá,Medellín,Gastronómico,Agencia tradicional,46,1718162,2.0,5.7,4.5
VCO0090,Cúcuta,Eje Cafetero,Descanso,App móvil,36,905774,1.0,7.1,4.8
VCO0091,Medellín,Eje Cafetero,Aventura,App móvil,27,346379,3.8,4.7,4.2
VCO0092,Bogotá,San Andrés,Descanso,App móvil,45,1052594,3.1,3.0,3.7
VCO0093,Medellín,Villa de Leyva,Cultural,Agencia tradicional,45,2747633,1.0,6.3,4.0
VCO0094,Cúcuta,Santa Marta,Descanso,App móvil,37,1393361,1.9,6.6,4.1
VCO0095,Medellín,Cartagena,Gastronómico,Reserva directa,45,2237561,1.3,2.9,4.6
VCO0096,Barranquilla,San Andrés,Descanso,Agencia tradicional,35,1563954,3.0,5.1,4.6
VCO0097,Cúcuta,San Andrés,Gastronómico,App móvil,38,1183382,2.2,3.8,4.3
VCO0098,Bogotá,Cartagena,Descanso,Reserva directa,34,1329776,3.3,3.0,4.4
VCO0099,Bogotá,Eje Cafetero,Ecoturismo,App móvil,23,308506,4.0,2.7,4.3
VCO0100,Manizales,Eje Cafetero,Aventura,App móvil,25,418256,4.5,3.7,3.8
VCO0101,Medellín,Santa Marta,Ecoturismo,Reserva directa,28,352354,4.5,2.8,3.5
VCO0102,Barranquilla,San Andrés,Cultural,App móvil,33,1202376,2.7,6.8,4.6
VCO0103,Bogotá,Santa Marta,Aventura,App móvil,28,271493,5.2,1.3,4.0
VCO0104,Cúcuta,Cartagena,Descanso,Reserva directa,34,1471859,2.2,5.4,4.5
VCO0105,Cali,Cartagena,Cultural,Reserva directa,43,2474264,2.0,5.1,4.3
VCO0106,Manizales,Villa de Leyva,Aventura,Recomendación,20,324492,5.0,3.9,4.7
VCO0107,Bucaramanga,San Andrés,Gastronómico,App móvil,37,1374797,2.0,6.0,4.4
VCO0108,Barranquilla,San Andrés,Descanso,Agencia tradicional,32,2574983,1.8,4.1,4.3
VCO0109,Bogotá,Santa Marta,Cultural,App móvil,23,366406,4.3,1.2,3.9
VCO0110,Bogotá,Eje Cafetero,Cultural,App móvil,30,220129,5.1,2.7,4.1
VCO0111,Bogotá,Amazonas,Ecoturismo,App móvil,30,501074,4.1,3.1,3.4
VCO0112,Bogotá,Villa de Leyva,Ecoturismo,App móvil,28,336860,4.0,4.4,4.9
VCO0113,Cali,Villa de Leyva,Gastronómico,Agencia tradicional,35,2184780,2.1,2.1,4.4
VCO0114,Medellín,Cartagena,Descanso,Reserva directa,37,2762771,1.4,4.0,4.5
VCO0115,Barranquilla,San Andrés,Cultural,Reserva directa,35,1487285,3.0,6.2,3.8
VCO0116,Cali,Cartagena,Gastronómico,Reserva directa,43,1949081,1.0,5.0,4.7
VCO0117,Cali,Cartagena,Cultural,App móvil,40,2362665,1.2,4.6,4.4
VCO0118,Bogotá,Santa Marta,Aventura,App móvil,27,321522,5.0,2.5,3.7
VCO0119,Bogotá,Villa de Leyva,Gastronómico,Reserva directa,43,2962897,1.0,3.6,4.0
VCO0120,Medellín,Eje Cafetero,Descanso,App móvil,40,1353993,1.5,7.4,5.0
VCO0121,Cali,San Andrés,Cultural,Agencia tradicional,56,2206131,1.2,4.0,4.9
VCO0122,Bogotá,Medellín,Cultural,Reserva directa,34,2882374,1.4,3.1,4.7
VCO0123,Cali,Amazonas,Aventura,Reserva directa,28,386585,5.8,3.5,4.6
VCO0124,Medellín,Eje Cafetero,Ecoturismo,App móvil,29,517857,4.8,4.0,3.9
VCO0125,Bogotá,Santa Marta,Ecoturismo,App móvil,22,338953,4.6,4.0,3.9
VCO0126,Bogotá,Eje Cafetero,Descanso,App móvil,36,988700,2.3,3.8,4.2
VCO0127,Cali,Cartagena,Cultural,Agencia tradicional,41,2751744,2.0,4.3,4.4
VCO0128,Medellín,San Andrés,Descanso,Reserva directa,45,2380372,1.5,4.4,4.7
VCO0129,Manizales,Eje Cafetero,Ecoturismo,Reserva directa,21,210222,3.8,3.2,4.5
VCO0130,Barranquilla,San Andrés,Descanso,App móvil,38,1196887,2.6,8.1,4.3
VCO0131,Barranquilla,Cartagena,Descanso,Agencia tradicional,40,700000,1.0,4.5,4.3
VCO0132,Medellín,Amazonas,Aventura,Recomendación,35,150000,2.8,3.4,4.2
VCO0133,Medellín,Amazonas,Ecoturismo,App móvil,25,373796,3.4,3.5,4.0
VCO0134,Pereira,Santa Marta,Cultural,App móvil,29,361159,4.3,2.0,4.2
VCO0135,Bogotá,Cartagena,Gastronómico,Reserva directa,51,2036558,2.1,6.6,4.6
VCO0136,Medellín,Santa Marta,Ecoturismo,App móvil,25,341504,4.2,3.7,3.4
VCO0137,Bogotá,Cartagena,Descanso,App móvil,40,1035077,1.0,5.2,3.6
VCO0138,Bogotá,Eje Cafetero,Descanso,Agencia tradicional,29,988239,1.6,4.4,4.6
VCO0139,Cali,Amazonas,Aventura,Recomendación,27,390809,5.8,1.8,4.4
VCO0140,Bogotá,San Andrés,Gastronómico,Reserva directa,39,2975085,1.0,3.2,4.9
VCO0141,Medellín,Cartagena,Gastronómico,Agencia tradicional,41,2173636,1.5,5.4,4.1
VCO0142,Bogotá,Amazonas,Aventura,Reserva directa,29,330941,3.3,4.2,4.6
VCO0143,Bogotá,San Andrés,Descanso,App móvil,39,1108660,1.7,4.1,5.0
VCO0144,Medellín,Santa Marta,Cultural,Reserva directa,22,495511,3.3,3.5,4.0
VCO0145,Pereira,Amazonas,Cultural,App móvil,28,444174,4.8,4.0,4.5
VCO0146,Pereira,Villa de Leyva,Aventura,App móvil,22,360939,3.0,2.8,4.3
VCO0147,Medellín,Santa Marta,Descanso,Agencia tradicional,37,1404327,1.1,4.5,4.5
VCO0148,Medellín,Santa Marta,Gastronómico,Agencia tradicional,33,1487273,2.3,3.2,3.6
VCO0149,Manizales,Eje Cafetero,Aventura,App móvil,30,566242,4.3,2.8,4.8
VCO0150,Bogotá,Amazonas,Aventura,Reserva directa,27,331547,5.4,3.1,3.5
VCO0151,Cali,Villa de Leyva,Gastronómico,Agencia tradicional,44,2557701,1.1,5.0,4.9
VCO0152,Manizales,Eje Cafetero,Ecoturismo,Recomendación,29,465355,3.9,4.2,3.7
VCO0153,Cali,Eje Cafetero,Aventura,Reserva directa,31,367517,3.8,2.8,3.3
VCO0154,Cúcuta,Eje Cafetero,Descanso,App móvil,36,810694,3.2,5.6,4.4
VCO0155,Medellín,San Andrés,Descanso,Agencia tradicional,41,2625146,1.7,4.6,4.5
VCO0156,Bogotá,Santa Marta,Cultural,App móvil,20,404733,5.6,4.5,4.1
VCO0157,Medellín,Santa Marta,Descanso,Reserva directa,40,1014356,2.7,6.1,5.0
VCO0158,Bogotá,Villa de Leyva,Gastronómico,Reserva directa,50,2532516,1.6,2.8,4.8
VCO0159,Medellín,Villa de Leyva,Aventura,Recomendación,23,250014,5.9,3.7,4.2
VCO0160,Barranquilla,San Andrés,Descanso,Reserva directa,28,838146,2.6,7.7,4.9
VCO0161,Bogotá,Eje Cafetero,Aventura,Reserva directa,26,352697,4.8,2.0,4.7
VCO0162,Barranquilla,Santa Marta,Descanso,Reserva directa,42,1176466,1.1,3.6,4.4
VCO0163,Bogotá,Cartagena,Gastronómico,Agencia tradicional,37,1108906,2.6,5.6,4.1
VCO0164,Bogotá,Cartagena,Gastronómico,Reserva directa,30,1248991,3.0,5.7,4.3
VCO0165,Medellín,Amazonas,Ecoturismo,Recomendación,26,302248,4.7,4.9,5.0
VCO0166,Medellín,San Andrés,Descanso,Agencia tradicional,50,1953520,2.2,4.8,5.0
VCO0167,Manizales,Santa Marta,Aventura,Recomendación,22,341278,4.7,3.9,4.4
VCO0168,Bogotá,Eje Cafetero,Cultural,App móvil,25,352750,5.1,5.1,3.8
VCO0169,Cali,Eje Cafetero,Cultural,Recomendación,21,362847,5.1,4.6,4.7
VCO0170,Medellín,Cartagena,Gastronómico,Agencia tradicional,36,1105270,2.2,7.7,4.1
VCO0171,Medellín,Cartagena,Descanso,Agencia tradicional,29,1788609,1.7,6.9,4.7
VCO0172,Bogotá,Eje Cafetero,Aventura,App móvil,30,340430,3.9,2.8,3.8
VCO0173,Bogotá,Cartagena,Descanso,App móvil,45,1673857,2.4,3.1,4.3
VCO0174,Manizales,Eje Cafetero,Cultural,Reserva directa,31,415644,4.3,4.0,3.8
VCO0175,Bogotá,Eje Cafetero,Gastronómico,Agencia tradicional,36,1248360,1.1,6.5,4.5
VCO0176,Cali,Eje Cafetero,Aventura,App móvil,24,316397,4.4,3.4,3.6
VCO0177,Barranquilla,Cartagena,Descanso,Agencia tradicional,47,1192683,2.1,5.9,4.4
VCO0178,Medellín,San Andrés,Cultural,Agencia tradicional,46,852439,2.3,4.9,4.0
VCO0179,Medellín,Cartagena,Gastronómico,App móvil,31,3068073,1.0,4.9,4.4
VCO0180,Cali,Villa de Leyva,Aventura,Reserva directa,26,302697,3.1,4.3,4.1
VCO0181,Medellín,Santa Marta,Aventura,App móvil,26,378667,4.0,3.5,3.9
VCO0182,Bogotá,Amazonas,Aventura,Recomendación,26,254275,2.1,3.7,3.4
VCO0183,Medellín,Cartagena,Descanso,Reserva directa,55,2471910,1.1,3.3,4.8
VCO0184,Bogotá,Medellín,Descanso,Agencia tradicional,50,2385156,1.3,5.6,4.6
VCO0185,Cali,Villa de Leyva,Cultural,App móvil,29,407679,5.2,3.7,4.6
VCO0186,Bogotá,San Andrés,Gastronómico,Reserva directa,32,996417,2.0,6.6,4.7
VCO0187,Cali,Cartagena,Gastronómico,Agencia tradicional,43,2362497,1.4,3.3,4.7
VCO0188,Barranquilla,Cartagena,Descanso,Reserva directa,33,942478,1.2,6.0,4.0
VCO0189,Barranquilla,Cartagena,Gastronómico,Agencia tradicional,34,1019910,1.0,5.5,3.9
VCO0190,Bogotá,Eje Cafetero,Cultural,Recomendación,25,304768,4.2,3.5,4.3
VCO0191,Bogotá,Amazonas,Aventura,App móvil,21,369450,4.7,1.7,4.0
VCO0192,Medellín,San Andrés,Gastronómico,Agencia tradicional,44,2198280,1.6,3.0,4.6
VCO0193,Medellín,Cartagena,Gastronómico,Reserva directa,42,1833949,1.9,3.7,4.5
VCO0194,Bogotá,Santa Marta,Descanso,App móvil,39,1435773,2.4,3.0,5.0
VCO0195,Bogotá,Villa de Leyva,Ecoturismo,App móvil,23,239472,5.3,3.9,4.5
VCO0196,Medellín,Eje Cafetero,Cultural,App móvil,18,206142,7.6,3.6,4.2
VCO0197,Bucaramanga,San Andrés,Descanso,App móvil,34,1261226,1.9,4.3,4.5
VCO0198,Bogotá,Medellín,Gastronómico,Agencia tradicional,42,2553039,1.0,4.7,5.0
VCO0199,Bogotá,Cartagena,Descanso,Agencia tradicional,47,1858713,1.0,5.0,3.6
VCO0200,Bogotá,Medellín,Gastronómico,Reserva directa,48,1774046,1.9,4.7,4.9
VCO0201,Barranquilla,San Andrés,Descanso,Agencia tradicional,35,1048065,2.4,4.1,4.4
VCO0202,Medellín,Eje Cafetero,Aventura,App móvil,28,448242,3.6,3.1,4.0
VCO0203,Bogotá,Santa Marta,Aventura,Reserva directa,26,323215,4.8,3.2,4.5
VCO0204,Bogotá,Villa de Leyva,Cultural,Reserva directa,51,1837142,1.0,3.5,4.3
VCO0205,Cúcuta,Cartagena,Gastronómico,Agencia tradicional,40,1407602,2.0,5.7,4.1
VCO0206,Manizales,Villa de Leyva,Aventura,App móvil,25,302014,5.3,3.4,4.1
VCO0207,Manizales,Eje Cafetero,Ecoturismo,Recomendación,25,297429,3.3,4.5,4.7
VCO0208,Barranquilla,Santa Marta,Descanso,Agencia tradicional,33,1106130,1.0,4.2,4.8
VCO0209,Medellín,Eje Cafetero,Ecoturismo,App móvil,24,297722,2.9,4.4,5.0
VCO0210,Bogotá,Eje Cafetero,Cultural,Recomendación,22,319076,6.6,4.0,3.4
VCO0211,Bucaramanga,San Andrés,Gastronómico,App móvil,34,1241770,3.3,6.7,4.1
VCO0212,Bogotá,Cartagena,Descanso,Reserva directa,40,1211642,2.0,5.7,4.7
VCO0213,Bogotá,Santa Marta,Gastronómico,App móvil,28,1121312,2.4,5.9,4.7
VCO0214,Cali,Santa Marta,Aventura,App móvil,19,277148,3.8,4.5,3.7
VCO0215,Cúcuta,Cartagena,Descanso,Agencia tradicional,37,1294096,1.9,4.4,5.0
VCO0216,Cali,Amazonas,Ecoturismo,Reserva directa,25,271595,5.2,3.1,4.1
VCO0217,Medellín,Eje Cafetero,Cultural,Reserva directa,23,220575,5.7,4.4,3.6
VCO0218,Medellín,Santa Marta,Cultural,Agencia tradicional,34,1321827,1.9,5.2,4.2
VCO0219,Bogotá,Cartagena,Gastronómico,App móvil,39,1314489,2.3,3.6,3.8
VCO0220,Bogotá,Cartagena,Descanso,Agencia tradicional,39,2240612,1.7,2.8,4.8
VCO0221,Bogotá,San Andrés,Descanso,App móvil,28,1386333,2.2,4.1,4.4
VCO0222,Medellín,Cartagena,Cultural,App móvil,28,1279074,1.9,6.0,4.6
VCO0223,Medellín,Eje Cafetero,Ecoturismo,Recomendación,34,403783,3.4,4.4,4.0
VCO0224,Bogotá,Eje Cafetero,Aventura,App móvil,23,229961,4.6,3.9,4.6
VCO0225,Medellín,Eje Cafetero,Aventura,Recomendación,28,231697,4.1,4.1,4.6
VCO0226,Medellín,Eje Cafetero,Aventura,Recomendación,27,483781,4.3,4.8,2.6
VCO0227,Bogotá,Villa de Leyva,Gastronómico,Agencia tradicional,39,2635503,1.3,4.1,4.1
VCO0228,Barranquilla,Cartagena,Descanso,Reserva directa,44,1262867,1.9,5.7,4.1
VCO0229,Bogotá,Medellín,Gastronómico,Agencia tradicional,44,2472685,1.9,2.0,4.8
VCO0230,Bucaramanga,San Andrés,Descanso,Reserva directa,39,1366635,1.6,4.5,4.7
VCO0231,Cali,San Andrés,Gastronómico,Agencia tradicional,47,2379092,1.6,2.0,4.5
VCO0232,Bucaramanga,San Andrés,Descanso,App móvil,28,1215601,3.5,6.1,4.3
VCO0233,Bucaramanga,Cartagena,Gastronómico,Agencia tradicional,41,938444,1.5,7.8,5.0
VCO0234,Bucaramanga,Cartagena,Cultural,App móvil,39,1130979,1.9,5.5,4.1
VCO0235,Cali,Santa Marta,Cultural,App móvil,24,386077,5.4,2.7,3.7
VCO0236,Barranquilla,Santa Marta,Descanso,Agencia tradicional,55,832846,1.9,5.0,3.4
VCO0237,Bogotá,Santa Marta,Ecoturismo,Recomendación,20,224307,3.9,4.2,4.4
VCO0238,Pereira,Amazonas,Ecoturismo,App móvil,22,436521,6.3,2.8,4.0
VCO0239,Barranquilla,Santa Marta,Gastronómico,App móvil,36,1276270,1.0,6.9,4.9
VCO0240,Medellín,Santa Marta,Ecoturismo,Reserva directa,23,437344,2.3,2.6,4.1
VCO0241,Medellín,Villa de Leyva,Gastronómico,Reserva directa,46,2453371,1.0,3.3,5.0
VCO0242,Medellín,Cartagena,Descanso,Reserva directa,50,2585667,1.0,3.5,4.8
VCO0243,Bogotá,Medellín,Cultural,Reserva directa,38,2109351,1.4,2.8,4.9
VCO0244,Manizales,Eje Cafetero,Cultural,Recomendación,28,434811,4.5,3.3,4.0
VCO0245,Bogotá,Santa Marta,Ecoturismo,App móvil,29,278500,4.0,2.0,4.1
VCO0246,Bogotá,Cartagena,Cultural,Agencia tradicional,49,2193755,1.5,4.2,4.4
VCO0247,Bogotá,Cartagena,Gastronómico,App móvil,35,1124899,2.5,3.5,4.5
VCO0248,Cali,San Andrés,Cultural,Agencia tradicional,41,1884916,1.0,4.3,4.4
VCO0249,Bogotá,Villa de Leyva,Descanso,Agencia tradicional,47,2725910,2.4,4.8,4.9
VCO0250,Bogotá,Villa de Leyva,Cultural,Reserva directa,49,2773794,1.6,5.1,4.5
VCO0251,Bogotá,Eje Cafetero,Aventura,Recomendación,31,390458,4.5,3.1,4.6
VCO0252,Barranquilla,Cartagena,Descanso,App móvil,39,1219486,1.2,5.4,4.3
VCO0253,Medellín,Villa de Leyva,Cultural,Reserva directa,37,2410789,1.7,3.7,4.6
VCO0254,Bogotá,Villa de Leyva,Ecoturismo,App móvil,34,382484,3.9,3.4,4.2
VCO0255,Medellín,Eje Cafetero,Aventura,App móvil,23,331206,4.5,4.5,3.7
VCO0256,Cúcuta,Eje Cafetero,Descanso,Agencia tradicional,47,847352,2.3,4.3,4.0
VCO0257,Cali,Medellín,Descanso,App móvil,45,3205191,1.0,6.4,4.7
VCO0258,Cúcuta,San Andrés,Gastronómico,App móvil,41,1017676,2.7,5.2,4.0
VCO0259,Medellín,Cartagena,Descanso,App móvil,38,1196016,2.5,3.3,4.4
VCO0260,Bogotá,Eje Cafetero,Cultural,Recomendación,28,262076,4.5,2.5,3.5
VCO0261,Bogotá,Cartagena,Cultural,Reserva directa,34,1114336,2.6,5.6,4.7
VCO0262,Medellín,Cartagena,Cultural,Reserva directa,37,2657107,1.5,4.0,4.8
VCO0263,Manizales,Amazonas,Aventura,App móvil,24,401529,4.5,3.5,4.1
VCO0264,Bucaramanga,Cartagena,Descanso,App móvil,37,1405836,1.7,6.9,4.4
VCO0265,Cali,Medellín,Descanso,Reserva directa,38,2052590,1.9,2.5,4.3
VCO0266,Bucaramanga,Eje Cafetero,Gastronómico,Agencia tradicional,39,1307952,2.2,7.0,4.3
VCO0267,Medellín,San Andrés,Descanso,Agencia tradicional,37,1134692,3.8,4.9,4.1
VCO0268,Barranquilla,Cartagena,Descanso,App móvil,39,965815,2.3,3.5,4.0
VCO0269,Cali,Eje Cafetero,Ecoturismo,Reserva directa,25,444479,5.8,1.8,3.1
VCO0270,Bogotá,Santa Marta,Aventura,App móvil,24,382261,3.0,3.6,3.2
VCO0271,Bogotá,San Andrés,Gastronómico,Reserva directa,33,2353463,1.1,2.6,4.1
VCO0272,Barranquilla,Cartagena,Descanso,Reserva directa,30,2570704,1.9,3.9,4.9
VCO0273,Medellín,Villa de Leyva,Cultural,Reserva directa,45,2508940,1.6,5.1,4.1
VCO0274,Medellín,Medellín,Cultural,Reserva directa,40,2105336,1.6,4.0,4.1
VCO0275,Bucaramanga,Eje Cafetero,Cultural,Agencia tradicional,42,1109801,1.8,3.2,4.3
VCO0276,Medellín,San Andrés,Descanso,Agencia tradicional,45,1258789,2.3,5.8,4.5
VCO0277,Bogotá,San Andrés,Cultural,Agencia tradicional,51,2104588,1.0,5.8,4.7
VCO0278,Medellín,Eje Cafetero,Descanso,App móvil,36,1188407,1.7,3.3,5.0
VCO0279,Medellín,San Andrés,Cultural,Agencia tradicional,29,897233,1.7,5.2,4.0
VCO0280,Bogotá,Villa de Leyva,Cultural,App móvil,47,2438695,1.2,4.4,4.6
VCO0281,Cali,San Andrés,Cultural,Reserva directa,35,3066081,2.0,5.0,4.9
VCO0282,Bogotá,Eje Cafetero,Ecoturismo,Reserva directa,30,411712,3.9,3.6,4.0
VCO0283,Bogotá,Amazonas,Cultural,Recomendación,26,350088,4.4,2.8,4.5
VCO0284,Pereira,Santa Marta,Aventura,App móvil,20,226445,3.8,2.2,4.5
